Pays,Cas confirmés,Décès,Tests effectués,Population,Vaccinés
Afghanistan,234174,7996,1390730,40754388,N/A
Albania,334863,3605,1941032,2866374,N/A
Algeria,272010,6881,230960,45350148,N/A
Andorra,48015,165,249838,77463,N/A
Angola,107327,1937,1499795,35027343,N/A
Anguilla,3904,12,51382,15230,N/A
Antigua and Barbuda,9106,146,18901,99509,N/A
Argentina,10128845,130841,35716069,46010234,N/A
Armenia,451831,8777,3242901,2971966,N/A
Aruba,44224,292,177885,107609,N/A
Australia,11853144,24414,81916639,26068792,N/A
Austria,6081287,22542,211273524,9066710,N/A
Azerbaijan,835234,10400,7748050,10300205,N/A
Bahamas,38084,844,257839,400516,N/A
Bahrain,729549,1574,10948549,1783983,N/A
Bangladesh,2049377,29493,15254399,167885689,N/A
Barbados,110578,648,814159,288023,N/A
Belarus,994037,7118,13646641,9432800,N/A
Belgium,4861695,34376,37454182,11668278,N/A
Belize,71409,688,576016,412190,N/A
Benin,28036,163,604310,12784726,N/A
Bermuda,18860,165,1029558,61939,N/A
Bhutan,62697,21,2303734,787941,N/A
Bolivia,1212131,22407,2710261,11992656,N/A
Bosnia,403615,16388,1884721,3249317,N/A
Botswana,330638,2801,2026898,2441162,N/A
Brazil,38743918,711380,63776166,215353593,N/A
British Virgin Islands,7392,64,107339,30596,N/A
Brunei,343719,225,717784,445431,N/A
Bulgaria,1339851,38748,11671043,6844597,N/A
Burkina Faso,22114,400,248995,22102838,N/A
Burundi,54721,38,345742,12624840,N/A
Cabo Verde,64477,417,401622,567678,N/A
Cambodia,139103,3056,3091420,17168639,N/A
Cameroon,125379,1974,1751774,27911548,N/A
Canada,4946090,59034,66572774,38388419,N/A
Caribbean Netherlands,11682,38,30126,26647,N/A
Cayman Islands,31472,37,222773,67277,N/A
Central African Republic,15440,113,81294,5016678,N/A
Chad,7701,194,191341,17413580,N/A
Channel Islands,101717,228,1252808,176463,N/A
Chile,5384853,64497,50382097,19250195,N/A
China,503302,5272,160000000,1448471400,N/A
Colombia,6400173,143200,36951507,51512762,N/A
Comoros,9109,161,0,907419,N/A
Congo,25375,386,347815,5797805,N/A
Cook Islands,7203,2,19690,17571,N/A
Costa Rica,1238883,9428,4659757,5182354,N/A
Croatia,1309728,18687,5660084,4059286,N/A
Cuba,1115251,8530,14402674,11305652,N/A
Curaçao,45986,295,496693,165529,N/A
Cyprus,681110,1365,9640118,1223387,N/A
Czechia,4759041,43517,57834241,10736784,N/A
Côte d'Ivoire,88384,835,1690934,27742298,N/A
DRC,99338,1468,846704,95240792,N/A
Denmark,3183756,8814,129333107,5834950,N/A
Diamond Princess,712,13,0,0,N/A
Djibouti,15690,189,305941,1016097,N/A
Dominica,16038,74,229344,72344,N/A
Dominican Republic,675890,4384,3740928,11056370,N/A
Ecuador,1070188,36043,3082403,18113361,N/A
Egypt,516023,24613,3693367,106156692,N/A
El Salvador,201855,4230,2610114,6550389,N/A
Equatorial Guinea,17229,183,365697,1496662,N/A
Eritrea,10189,103,23693,3662244,N/A
Estonia,628070,3001,6968103,1321910,N/A
Ethiopia,501157,7574,5565340,120812698,N/A
Falkland Islands (Malvinas),1930,0,8632,3539,N/A
Faroe Islands,34658,28,778000,49233,N/A
Fiji,69117,885,672883,909466,N/A
Finland,1516117,11958,12108977,5554960,N/A
France,40138560,167642,271490188,65584518,N/A
French Guiana,98041,420,651257,314169,N/A
French Polynesia,79254,650,0,284164,N/A
Gabon,49051,307,1621909,2331533,N/A
Gambia,12626,372,155686,2558482,N/A
Georgia,1861665,17132,16920079,3968738,N/A
Germany,38828995,183027,122332384,83883596,N/A
Ghana,171889,1462,2541625,32395450,N/A
Gibraltar,20550,113,534283,33704,N/A
Greece,6101379,37869,102228365,10316637,N/A
Greenland,11971,21,164926,56973,N/A
Grenada,19693,238,182981,113475,N/A
Guadeloupe,203235,1021,938039,399794,N/A
Guatemala,1291293,20289,7593848,18584039,N/A
Guinea,38572,468,660107,13865691,N/A
Guinea-Bissau,9614,177,145231,2063367,N/A
Guyana,74137,1300,733218,794045,N/A
Haiti,34667,860,132422,11680283,N/A
Holy See (Vatican City State),29,0,0,799,N/A
Honduras,474590,11165,1660662,10221247,N/A
Hong Kong,2937609,14924,76127725,7604299,N/A
Hungary,2230232,49048,11394556,9606259,N/A
Iceland,209906,229,1996384,345393,N/A
India,45035393,533570,935879495,1406631776,N/A
Indonesia,6829221,162063,114158919,279134505,N/A
Iran,7627186,146811,57320267,86022837,N/A
Iraq,2465545,25375,19544451,42164965,N/A
Ireland,1734582,9491,13083449,5020199,N/A
Isle of Man,38008,116,150753,85732,N/A
Israel,4841772,12707,41373364,9326000,N/A
Italy,26723249,196487,281126449,60262770,N/A
Jamaica,156869,3756,1183986,2985094,N/A
Japan,33803572,74694,100414883,125584838,N/A
Jordan,1746997,14122,17201885,10300869,N/A
Kazakhstan,1411831,13848,11575012,19205043,N/A
Kenya,344130,5689,3967062,56215221,N/A
Kiribati,5085,24,0,123419,N/A
Kuwait,667158,2570,8455743,4380326,N/A
Kyrgyzstan,206897,2991,1907195,6728271,N/A
Lao People's Democratic Republic,218970,758,1233207,7481023,N/A
Latvia,982505,6715,7885792,1848837,N/A
Lebanon,1243838,10952,4795578,6684849,N/A
Lesotho,36138,723,431221,2175699,N/A
Liberia,8090,295,139824,5305117,N/A
Libyan Arab Jamahiriya,507274,6437,2483848,7040745,N/A
Liechtenstein,21574,94,112457,38387,N/A
Lithuania,1397806,9897,10540357,2661708,N/A
Luxembourg,391232,1232,4587145,642371,N/A
MS Zaandam,9,2,0,0,N/A
Macao,27673,123,7850,667490,N/A
Macedonia,350567,9976,2226216,2081304,N/A
Madagascar,68486,1426,531329,29178077,N/A
Malawi,89535,2686,624784,20180839,N/A
Malaysia,5278406,37348,68580916,33181072,N/A
Maldives,186694,316,2213831,540985,N/A
Mali,33164,743,804909,21473764,N/A
Malta,121420,885,2170600,444033,N/A
Marshall Islands,16138,17,0,60057,N/A
Martinique,230354,1102,828928,374087,N/A
Mauritania,63848,997,1009957,4901981,N/A
Mauritius,43025,1051,358675,1274727,N/A
Mayotte,42027,188,176919,286259,N/A
